Field_AT_ID,Field_ID,Table_ID,Table_Name,Field_Name,Field_Type,Redis_Cache,Redis_TTL,Field_Details,One_Or_Many,Registry_Created,Is_Linked_Field,Linked_Table,Linked_Table_ID
recSODlU2IzBN2n31,fldNZPixqhzi90cTv,tblaZGLONqZC8SDit,QC_Tickets,Comment_Status,singleSelect,checked,,,,4/8/2025 7:11pm,,,
rec1UX0bBpR4edi6Z,fldrIjX2Xn8IXYTtN,tblaZGLONqZC8SDit,QC_Tickets,#Viewpoint_Width,number,checked,,,,4/8/2025 7:11pm,,,
recM3vBCBQ0EMQdqB,fldwvgP7cwIkkwmlA,tblaZGLONqZC8SDit,QC_Tickets,Reviewer_Session_ID,multipleRecordLinks,checked,,,,4/8/2025 7:11pm,checked,,
recPb0kE9JAqcJQxY,fldM9INEPCCzF4DlM,tblaZGLONqZC8SDit,QC_Tickets,Viewpoint_Height,number,checked,,,,4/8/2025 7:11pm,,,
reco0lXcd3Wn3HwvX,flduV8fLht9ooLa8G,tblaZGLONqZC8SDit,QC_Tickets,Source_Descriptor,singleLineText,checked,,,,4/8/2025 7:11pm,,,
recbADM6IqSSPICOC,fldX29lnAKE8zx6VM,tblaZGLONqZC8SDit,QC_Tickets,Linked_Project (from Reviewer_Session_ID) 2,multipleLookupValues,checked,,,,4/8/2025 7:11pm,,,
recDAxVDcc6ckcyh1,fldrTCBKaUYrYP7gd,tblaZGLONqZC8SDit,QC_Tickets,Reviewer_Name (from Reviewer_Session_ID) 2,multipleLookupValues,checked,,,,4/8/2025 7:11pm,,,
rec2kHoEdT1RWrhaT,fldbfgtLuEJGumYPH,tblaZGLONqZC8SDit,QC_Tickets,Session_ID (from Reviewer_Session_ID) 2,multipleLookupValues,checked,,,,4/8/2025 7:11pm,,,
recrbG1OjLmgyeQwB,fldTP38pQyhfhUXqM,tblaZGLONqZC8SDit,QC_Tickets,QC_Change_Order,multipleRecordLinks,checked,,,,4/8/2025 7:11pm,checked,,
reczgmDkoycxEkIcV,fldPlWTt6h5ndgEZ5,tblaZGLONqZC8SDit,QC_Tickets,InResource_Location_01,singleLineText,checked,,,,4/8/2025 7:12pm,,,
recRlBzBeGJ0ap0Cf,fldUMuLWXHefLyk0A,tblaZGLONqZC8SDit,QC_Tickets,InResource_Location_02,singleLineText,checked,,,,4/8/2025 7:12pm,,,
recNorvpjCfmoGIre,fldXCC8RoL4I8aCfR,tblaZGLONqZC8SDit,QC_Tickets,InResource_Location_03,singleLineText,checked,,,,4/8/2025 7:12pm,,,
recJIUcwSvdYoOU6r,fld2GqJL2qmsOXK1N,tblaZGLONqZC8SDit,QC_Tickets,Ticket_Type,singleSelect,checked,,,,4/8/2025 7:12pm,,,
recb9eO2MVFdmxWHj,fldiw0IG8g2wrlrte,tblaZGLONqZC8SDit,QC_Tickets,Submitted_By_Tech_Ticket,multipleRecordLinks,checked,,,,4/8/2025 7:12pm,checked,,
recCAFSmIv6E9G2VH,fldCFqDT2FlBSh5kO,tblaZGLONqZC8SDit,QC_Tickets,Full Name (from Submitted_By_Tech_Ticket),multipleLookupValues,,,,,4/8/2025 7:12pm,,,
recHcKR6AAjARv9Lw,fldPfN7dLTFvv2JvK,tblaZGLONqZC8SDit,QC_Tickets,Tech_Ticket_Title,singleLineText,checked,,,,4/8/2025 7:12pm,,,
rec9IiDeMZU7yAogd,fld4LjCWfZsQw4oMN,tblaZGLONqZC8SDit,QC_Tickets,Selected_For_ChangeOrder,checkbox,checked,,,,4/8/2025 7:12pm,,,
rec7hRGgDf4z153r4,fldyiVpCsOKxqPSAh,tblZaN2izaUrznRES,QC_Change_Order,Change_Order_AT_ID,formula,checked,,,,4/8/2025 7:12pm,,,
recTaxwlHQqgqtvMT,fldwzPgdw88ZwPz7t,tblZaN2izaUrznRES,QC_Change_Order,Change_Order_Description,multilineText,checked,,,,4/8/2025 7:12pm,,,
recaXOieaQM2IVmQY,fldwTyCi5cs9o8mfi,tblZaN2izaUrznRES,QC_Change_Order,Deliverable_Designer,multipleRecordLinks,checked,,,,4/8/2025 7:12pm,checked,,
recF2H3kayD64XDTf,fldrRmEssZSqU8gW7,tblZaN2izaUrznRES,QC_Change_Order,QC_Tickets_IDs,singleLineText,checked,,,,4/8/2025 7:12pm,,,
rec7MT2gDyeaAYCuE,fldWViuWw46JA9x8v,tblZaN2izaUrznRES,QC_Change_Order,Designer (from Deliverable_Designer),multipleLookupValues,,,,,4/8/2025 7:12pm,,,
recIYBzYfsqq90Wok,fldtx2SkHDTUDHEIb,tblZaN2izaUrznRES,QC_Change_Order,Project,multipleRecordLinks,checked,,,,4/8/2025 7:12pm,checked,,
recuY29Ma7xUjpj5f,fldktybJSwr8xYsVG,tblZaN2izaUrznRES,QC_Change_Order,QC_Tickets,multipleRecordLinks,checked,,,,4/8/2025 7:12pm,checked,,
recXl8HG6tn8n8q5Z,fld8SirdzgLC8iVVU,tblZaN2izaUrznRES,QC_Change_Order,Name (from Org_ID) (from Project),multipleLookupValues,,,,,4/8/2025 7:12pm,,,
recxp8QzEvzAyjKPE,fldsN3oWBDiLwX6DW,tblZaN2izaUrznRES,QC_Change_Order,Resource_HTML (from Project),multipleLookupValues,,,,,4/8/2025 7:12pm,,,
